"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","pre-mRNA binding","GO:0036002","true","0.000025654726478964637","4.590832611268179","315","16","6","20139","RNU2-1,RNVU1-19,RNVU1-15,RNVU1-1,RNVU1-17,RNVU1-7"
"GO:MF","pre-mRNA 5'-splice site binding","GO:0030627","false","0.0000961258019138752","4.017160024144289","200","16","5","20139","RNVU1-19,RNVU1-15,RNVU1-1,RNVU1-17,RNVU1-7"
"GO:BP","RNA processing","GO:0006396","true","2.4594705262395628e-32","31.60915837756418","3368","65","56","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","RNA metabolic process","GO:0016070","false","4.586029662621494e-19","18.338563140563085","6934","65","59","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","nucleic acid metabolic process","GO:0090304","false","3.2926191740558357e-17","16.482458497095664","7482","65","59","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","nucleobase-containing compound metabolic process","GO:0006139","false","7.761961438097732e-17","16.110028519192365","7990","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","heterocycle metabolic process","GO:0046483","false","2.587170156968194e-16","15.587175006999667","8160","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","cellular aromatic compound metabolic process","GO:0006725","false","3.718671343256824e-16","15.429612202957841","8212","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","organic cyclic compound metabolic process","GO:1901360","false","1.908970465467402e-15","14.719200790717782","8451","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
"GO:BP","cellular nitrogen compound metabolic process","GO:0034641","false","6.085050014460878e-15","14.215735847850496","8625","65","60","21010","SNORD52,SNORD42A,SNORD105B,RNU2-1,SNORD45A,SNORD25,SNORD51,RNVU1-19,SNORD99,SNORD42B,SNORD124,SNORD2,SNORD41,SNORD91A,SNORD88B,SNORD59A,SNORD82,SNORD4B,RPPH1,SNORD43,SNORA24,SNORD36B,SNORD91B,RNVU1-15,RNVU1-1,SNORD19B,SNORD38A,SNORD58C,RAX,SNORD100,SNORA5C,RNVU1-17,SNORD6,RNVU1-7,SNORD18A,SNORD58A,SNORD50B,SNORD5,SNORD48,SNORD61,SCARNA11,SNORD37,SNORD35A,SNORD121A,SNORD1A,SNORD126,SNORD69,SNORA79,SNORD68,SETD7,IGHMBP2,COASY,SNORD88C,SNORD24,SNORD57,SNORD117,SCARNA14,SNORD92,SNORD84,SNORD110"
