# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/N/slate/amsaini/reference_genome/hsa.gff3" "-t" "miRNA,miRNA_primary_transcript" "-g" "Name" "-o" "/N/slate/amsaini/assignment_2/counts/all_samples_miRNA_count.txt" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269872_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269873_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269874_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269875_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269876_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269877_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269878_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269879_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269880_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269881_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269882_sorted.bam" "/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269883_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269872_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269873_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269874_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269875_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269876_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269877_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269878_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269879_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269880_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269881_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269882_sorted.bam	/N/slate/amsaini/assignment_2/bowtie_sam/bam_files/SRR22269883_sorted.bam
hsa-mir-6859-1	chr1	17369	17436	-	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6859-5p	chr1;chr1;chr15;chr16	17409;187931;101973529;17092	17431;187953;101973551;17114	-;-;+;-	92	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6859-3p	chr1;chr1;chr15;chr16	17369;187891;101973569;17052	17391;187913;101973591;17074	-;-;+;-	92	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1302-2	chr1	30366	30503	+	138	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302	chr1;chr12;chr15;chr19;chr2;chr2;chr20;chr7;chr8;chr9;chr9	30438;112695082;101960504;72045;113583004;207269328;50614689;18127234;141786255;30216;97363596	30458;112695102;101960524;72065;113583024;207269348;50614709;18127254;141786275;30236;97363616	+;-;-;+;-;-;-;-;-;+;-	231	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6859-2	chr1	187891	187958	-	68	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-12136	chr1	632615	632685	-	71	23	19	29	13	13	13	20	20	10	17	10	0
hsa-miR-12136	chr1	632668	632685	-	18	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-200b	chr1	1167104	1167198	+	95	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-5p	chr1	1167124	1167145	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-3p	chr1	1167160	1167181	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-200a	chr1	1167863	1167952	+	90	2	0	1	3	3	1	1	4	0	0	0	0
hsa-miR-200a-5p	chr1	1167878	1167899	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200a-3p	chr1	1167916	1167937	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-429	chr1	1169005	1169087	+	83	16	20	25	6	34	6	10	18	19	4	7	0
hsa-miR-429	chr1	1169055	1169076	+	22	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-6726	chr1	1296110	1296170	-	61	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6726-5p	chr1	1296145	1296165	-	21	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6726-3p	chr1	1296110	1296129	-	20	0	0	0	0	0	0	0	0	0	0	0	0
